C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/20/2017,00:00:00,REGULAR,0006184841,0002095161                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/20/2017,04:00:00,REGULAR,0006184865,0002095167                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/20/2017,08:00:00,REGULAR,0006184891,0002095192                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/20/2017,12:00:00,REGULAR,0006184973,0002095275                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/20/2017,16:00:00,REGULAR,0006185217,0002095326                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/20/2017,20:00:00,REGULAR,0006185506,0002095379                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/21/2017,00:00:00,REGULAR,0006185634,0002095402                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/21/2017,04:00:00,REGULAR,0006185655,0002095410                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/21/2017,08:00:00,REGULAR,0006185665,0002095420                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/21/2017,12:00:00,REGULAR,0006185734,0002095480                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/21/2017,16:00:00,REGULAR,0006185889,0002095539                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/21/2017,20:00:00,REGULAR,0006186111,0002095577                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/22/2017,00:00:00,REGULAR,0006186215,0002095600                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/22/2017,08:00:00,REGULAR,0006186282,0002095704                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/22/2017,12:00:00,REGULAR,0006186432,0002095955                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/22/2017,16:00:00,REGULAR,0006186689,0002096029                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/22/2017,20:00:00,REGULAR,0006187464,0002096100                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/23/2017,00:00:00,REGULAR,0006187676,0002096118                                            
