C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/06/2017,00:00:00,REGULAR,0006166390,0002088519                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/06/2017,04:00:00,REGULAR,0006166420,0002088525                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/06/2017,08:00:00,REGULAR,0006166433,0002088557                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/06/2017,12:00:00,REGULAR,0006166514,0002088663                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/06/2017,16:00:00,REGULAR,0006166791,0002088720                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/06/2017,20:00:00,REGULAR,0006167090,0002088765                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/07/2017,00:00:00,REGULAR,0006167259,0002088794                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/07/2017,04:00:00,REGULAR,0006167284,0002088800                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/07/2017,08:00:00,REGULAR,0006167297,0002088823                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/07/2017,12:00:00,REGULAR,0006167402,0002088901                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/07/2017,16:00:00,REGULAR,0006167605,0002088973                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/07/2017,20:00:00,REGULAR,0006167857,0002089024                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/08/2017,00:00:00,REGULAR,0006167955,0002089043                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/08/2017,04:00:00,REGULAR,0006167963,0002089044                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/08/2017,08:00:00,REGULAR,0006168003,0002089156                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/08/2017,12:00:00,REGULAR,0006168197,0002089447                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/08/2017,16:00:00,REGULAR,0006168523,0002089518                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/08/2017,20:00:00,REGULAR,0006169303,0002089586                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/09/2017,00:00:00,REGULAR,0006169536,0002089615                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/09/2017,04:00:00,REGULAR,0006169566,0002089618                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/09/2017,08:00:00,REGULAR,0006169600,0002089740                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/09/2017,12:00:00,REGULAR,0006169748,0002089991                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/09/2017,16:00:00,REGULAR,0006170086,0002090064                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/09/2017,20:00:00,REGULAR,0006170839,0002090126                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/10/2017,00:00:00,REGULAR,0006171059,0002090152                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/10/2017,04:00:00,REGULAR,0006171075,0002090156                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/10/2017,08:00:00,REGULAR,0006171120,0002090282                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/10/2017,12:00:00,REGULAR,0006171297,0002090569                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/10/2017,16:00:00,REGULAR,0006171646,0002090657                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/10/2017,20:00:00,REGULAR,0006172382,0002090821                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/11/2017,00:00:00,REGULAR,0006172600,0002090847                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/11/2017,04:00:00,REGULAR,0006172626,0002090847                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/11/2017,08:00:00,REGULAR,0006172674,0002090982                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/11/2017,12:00:00,REGULAR,0006172862,0002091225                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/11/2017,16:00:00,REGULAR,0006173173,0002091293                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/11/2017,20:00:00,REGULAR,0006173936,0002091351                                            
