C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/13/2017,00:00:00,REGULAR,0006175956,0002091935                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/13/2017,04:00:00,REGULAR,0006176001,0002091936                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/13/2017,08:00:00,REGULAR,0006176032,0002091960                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/13/2017,12:00:00,REGULAR,0006176121,0002092061                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/13/2017,16:00:00,REGULAR,0006176394,0002092119                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/13/2017,20:00:00,REGULAR,0006176686,0002092176                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/14/2017,00:00:00,REGULAR,0006176825,0002092204                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/14/2017,04:00:00,REGULAR,0006176848,0002092207                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/14/2017,08:00:00,REGULAR,0006176865,0002092226                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/14/2017,12:00:00,REGULAR,0006177004,0002092301                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/14/2017,16:00:00,REGULAR,0006177244,0002092354                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/14/2017,20:00:00,REGULAR,0006177535,0002092400                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/15/2017,00:00:00,REGULAR,0006177671,0002092436                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/15/2017,04:00:00,REGULAR,0006177681,0002092438                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/15/2017,08:00:00,REGULAR,0006177725,0002092548                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/15/2017,12:00:00,REGULAR,0006177927,0002092856                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/15/2017,16:00:00,REGULAR,0006178313,0002092928                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/15/2017,20:00:00,REGULAR,0006179092,0002092997                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/16/2017,00:00:00,REGULAR,0006179262,0002093021                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/16/2017,04:00:00,REGULAR,0006179279,0002093024                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/16/2017,08:00:00,REGULAR,0006179325,0002093141                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/16/2017,12:00:00,REGULAR,0006179434,0002093420                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/16/2017,16:00:00,REGULAR,0006179666,0002093480                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/16/2017,20:00:00,REGULAR,0006180099,0002093538                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/17/2017,00:00:00,REGULAR,0006180269,0002093566                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/17/2017,04:00:00,REGULAR,0006180270,0002093566                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/17/2017,08:00:00,REGULAR,0006180312,0002093695                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/17/2017,12:00:00,REGULAR,0006180472,0002093952                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/17/2017,16:00:00,REGULAR,0006180760,0002094033                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/17/2017,20:00:00,REGULAR,0006181544,0002094101                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/18/2017,00:00:00,REGULAR,0006181793,0002094130                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/18/2017,04:00:00,REGULAR,0006181800,0002094131                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/18/2017,08:00:00,REGULAR,0006181849,0002094251                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/18/2017,12:00:00,REGULAR,0006182017,0002094540                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/18/2017,16:00:00,REGULAR,0006182334,0002094607                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/18/2017,20:00:00,REGULAR,0006183046,0002094678                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/19/2017,00:00:00,REGULAR,0006183294,0002094709                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/19/2017,04:00:00,REGULAR,0006183295,0002094709                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/19/2017,08:00:00,REGULAR,0006183333,0002094792                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/19/2017,12:00:00,REGULAR,0006183506,0002094968                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/19/2017,16:00:00,REGULAR,0006183861,0002095048                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,05/19/2017,20:00:00,REGULAR,0006184615,0002095130                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/13/2017,00:00:00,REGULAR,0005594253,0001239655                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/13/2017,04:00:00,REGULAR,0005594259,0001239656                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/13/2017,08:00:00,REGULAR,0005594261,0001239670                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/13/2017,12:00:00,REGULAR,0005594313,0001239722                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/13/2017,16:00:00,REGULAR,0005594379,0001239767                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/13/2017,20:00:00,REGULAR,0005594478,0001239789                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/14/2017,00:00:00,REGULAR,0005594521,0001239804                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/14/2017,04:00:00,REGULAR,0005594527,0001239804                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/14/2017,08:00:00,REGULAR,0005594528,0001239814                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/14/2017,12:00:00,REGULAR,0005594559,0001239860                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/14/2017,16:00:00,REGULAR,0005594637,0001239903                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/14/2017,20:00:00,REGULAR,0005594747,0001239926                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/15/2017,00:00:00,REGULAR,0005594762,0001239944                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/15/2017,04:00:00,REGULAR,0005594765,0001239947                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/15/2017,08:00:00,REGULAR,0005594772,0001240000                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/15/2017,12:00:00,REGULAR,0005594813,0001240119                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/15/2017,16:00:00,REGULAR,0005594945,0001240171                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/15/2017,20:00:00,REGULAR,0005595539,0001240228                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/16/2017,00:00:00,REGULAR,0005595704,0001240248                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/16/2017,04:00:00,REGULAR,0005595716,0001240249                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/16/2017,08:00:00,REGULAR,0005595743,0001240301                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/16/2017,12:00:00,REGULAR,0005595903,0001240427                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/16/2017,16:00:00,REGULAR,0005596167,0001240478                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/16/2017,20:00:00,REGULAR,0005596936,0001240541                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/17/2017,00:00:00,REGULAR,0005597129,0001240566                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/17/2017,04:00:00,REGULAR,0005597129,0001240570                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/17/2017,08:00:00,REGULAR,0005597154,0001240628                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/17/2017,12:00:00,REGULAR,0005597265,0001240765                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/17/2017,16:00:00,REGULAR,0005597493,0001240819                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/17/2017,20:00:00,REGULAR,0005598088,0001240871                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/18/2017,00:00:00,REGULAR,0005598270,0001240885                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/18/2017,04:00:00,REGULAR,0005598272,0001240885                                            
