,kepid,digits,KeplerName,Disposition
1,10797460,K00752.01,Kepler-227 b,CANDIDATE
2,10797460,K00752.02,Kepler-227 c,CANDIDATE
3,10811496,K00753.01,,FALSE POSITIVE
4,10848459,K00754.01,,FALSE POSITIVE
5,10854555,K00755.01,Kepler-664 b,CANDIDATE
6,10872983,K00756.01,Kepler-228 d,CANDIDATE
7,10872983,K00756.02,Kepler-228 c,CANDIDATE
8,10872983,K00756.03,Kepler-228 b,CANDIDATE
9,6721123,K00114.01,,FALSE POSITIVE
10,10910878,K00757.01,Kepler-229 c,CANDIDATE
11,11446443,K00001.01,Kepler-1 b,CANDIDATE
12,10666592,K00002.01,Kepler-2 b,CANDIDATE
13,6922244,K00010.01,Kepler-8 b,CANDIDATE
14,10984090,K00112.02,Kepler-466 c,CANDIDATE
15,10419211,K00742.01,,FALSE POSITIVE
16,10464078,K00743.01,,FALSE POSITIVE
17,10480982,K00744.01,,FALSE POSITIVE
18,10485250,K00745.01,,FALSE POSITIVE
19,10526549,K00746.01,Kepler-660 b,CANDIDATE
20,10583066,K00747.01,Kepler-661 b,CANDIDATE
21,10583180,K00748.01,,FALSE POSITIVE
22,10601284,K00749.01,Kepler-226 c,CANDIDATE
23,10601284,K00749.02,Kepler-226 b,CANDIDATE
24,10601284,K00749.03,Kepler-226 d,CANDIDATE
25,2306756,K00113.01,,FALSE POSITIVE
26,10662202,K00750.01,Kepler-662 b,CANDIDATE
27,10682541,K00751.01,Kepler-663 b,CANDIDATE
28,11460018,K00769.01,Kepler-671 b,CANDIDATE
29,11463211,K00770.01,,FALSE POSITIVE
30,11465813,K00771.01,,FALSE POSITIVE
31,11493732,K00772.01,,FALSE POSITIVE
32,11507101,K00773.01,Kepler-672 b,CANDIDATE
33,10910878,K00757.02,Kepler-229 d,CANDIDATE
34,10910878,K00757.03,Kepler-229 b,CANDIDATE
35,10987985,K00758.01,Kepler-665 b,CANDIDATE
36,11018648,K00759.01,Kepler-230 b,CANDIDATE
37,11018648,K00759.02,Kepler-230 c,CANDIDATE
38,11138155,K00760.01,,CANDIDATE
39,11152159,K00761.01,,FALSE POSITIVE
40,11153539,K00762.01,Kepler-666 b,CANDIDATE
41,11242721,K00763.01,,FALSE POSITIVE
42,9579641,K00115.01,Kepler-105 b,CANDIDATE
43,11304958,K00764.01,Kepler-667 b,CANDIDATE
44,11391957,K00765.01,Kepler-668 b,CANDIDATE
45,11403044,K00766.01,Kepler-669 b,CANDIDATE
46,11414511,K00767.01,Kepler-670 b,CANDIDATE
47,11442465,K00768.01,,FALSE POSITIVE
48,12110942,K00786.01,Kepler-680 b,CANDIDATE
49,12366084,K00787.01,Kepler-232 b,CANDIDATE
50,12366084,K00787.02,Kepler-232 c,CANDIDATE
51,12404086,K00788.01,Kepler-681 b,CANDIDATE
52,8395660,K00116.01,Kepler-106 c,CANDIDATE
53,9579641,K00115.02,Kepler-105 c,CANDIDATE
54,11656840,K00774.01,,FALSE POSITIVE
55,11754553,K00775.01,Kepler-52 c,CANDIDATE
56,11754553,K00775.02,Kepler-52 b,CANDIDATE
57,11754553,K00775.03,Kepler-52 d,CANDIDATE
58,11812062,K00776.01,Kepler-673 b,CANDIDATE
59,11818800,K00777.01,,CANDIDATE
60,11853255,K00778.01,Kepler-674 b,CANDIDATE
61,11909839,K00779.01,,FALSE POSITIVE
62,11918099,K00780.01,Kepler-675 b,CANDIDATE
63,11918099,K00780.02,,CANDIDATE
64,9579641,K00115.03,,CANDIDATE
65,11923270,K00781.01,Kepler-676 b,CANDIDATE
